latency,accuracy,payload,count
5,1.000000,1,8
5,1.000000,1,8
4,1.000000,1,8
5,1.000000,1,8
5,1.000000,1,8
5,1.000000,1,8
5,1.000000,1,8
4,1.000000,1,8
5,1.000000,1,8
4,1.000000,1,8
4,1.000000,1,8
6,1.000000,1,8
5,1.000000,1,8
5,1.000000,1,8
4,1.000000,1,8
5,1.000000,1,8
5,1.000000,1,8
5,1.000000,1,8
4,1.000000,1,8
5,1.000000,1,8
4,1.000000,1,8
4,1.000000,1,8
5,1.000000,1,8
4,1.000000,1,8
4,1.000000,1,8
5,1.000000,1,8
5,1.000000,1,8
4,1.000000,1,8
5,1.000000,1,8
4,1.000000,1,8
5,1.000000,1,8
5,1.000000,1,8
4,1.000000,1,8
5,1.000000,1,8
5,1.000000,1,8
4,1.000000,1,8
5,1.000000,1,8
5,1.000000,1,8
5,1.000000,1,8
4,1.000000,1,8
4,1.000000,1,8
5,1.000000,1,8
5,1.000000,1,8
5,1.000000,1,8
4,1.000000,1,8
5,1.000000,1,8
4,1.000000,1,8
5,1.000000,1,8
4,1.000000,1,8
5,1.000000,1,8
5,1.000000,1,8
5,1.000000,1,8
5,1.000000,1,8
4,1.000000,1,8
5,1.000000,1,8
5,1.000000,1,8
5,1.000000,1,8
5,1.000000,1,8
5,1.000000,1,8
5,1.000000,1,8
5,1.000000,1,8
5,1.000000,1,8
6,1.000000,1,8
5,1.000000,1,8
4,1.000000,1,8
5,1.000000,1,8
4,1.000000,1,8
5,1.000000,1,8
5,1.000000,1,8
5,1.000000,1,8
5,1.000000,1,8
5,1.000000,1,8
5,1.000000,1,8
5,1.000000,1,8
5,1.000000,1,8
5,1.000000,1,8
5,1.000000,1,8
5,1.000000,1,8
5,1.000000,1,8
4,1.000000,1,8
5,1.000000,1,8
5,1.000000,1,8
6,1.000000,1,8
5,1.000000,1,8
4,1.000000,1,8
5,1.000000,1,8
5,1.000000,1,8
4,1.000000,1,8
4,1.000000,1,8
4,1.000000,1,8
5,1.000000,1,8
3,1.000000,1,8
5,1.000000,1,8
5,1.000000,1,8
4,1.000000,1,8
5,1.000000,1,8
4,1.000000,1,8
4,1.000000,1,8
4,1.000000,1,8
5,1.000000,1,8
10,1.000000,2,16
9,1.000000,2,16
9,1.000000,2,16
9,1.000000,2,16
9,1.000000,2,16
9,1.000000,2,16
8,1.000000,2,16
9,1.000000,2,16
9,1.000000,2,16
9,1.000000,2,16
8,1.000000,2,16
8,1.000000,2,16
9,1.000000,2,16
9,1.000000,2,16
8,1.000000,2,16
9,1.000000,2,16
10,1.000000,2,16
8,1.000000,2,16
9,1.000000,2,16
9,1.000000,2,16
9,1.000000,2,16
9,1.000000,2,16
9,1.000000,2,16
69,1.000000,2,16
8,1.000000,2,16
9,1.000000,2,16
9,1.000000,2,16
7,1.000000,2,16
7,1.000000,2,16
9,1.000000,2,16
9,1.000000,2,16
9,1.000000,2,16
9,1.000000,2,16
10,1.000000,2,16
9,1.000000,2,16
9,1.000000,2,16
9,1.000000,2,16
8,1.000000,2,16
8,1.000000,2,16
9,1.000000,2,16
9,1.000000,2,16
9,1.000000,2,16
9,1.000000,2,16
9,1.000000,2,16
9,1.000000,2,16
8,1.000000,2,16
10,1.000000,2,16
9,1.000000,2,16
8,1.000000,2,16
8,1.000000,2,16
9,1.000000,2,16
8,1.000000,2,16
8,1.000000,2,16
8,1.000000,2,16
8,1.000000,2,16
9,1.000000,2,16
9,1.000000,2,16
9,1.000000,2,16
8,1.000000,2,16
7,1.000000,2,16
7,1.000000,2,16
7,1.000000,2,16
8,1.000000,2,16
9,1.000000,2,16
9,1.000000,2,16
7,1.000000,2,16
7,1.000000,2,16
9,1.000000,2,16
9,1.000000,2,16
9,1.000000,2,16
8,1.000000,2,16
7,1.000000,2,16
8,1.000000,2,16
9,1.000000,2,16
7,1.000000,2,16
9,1.000000,2,16
10,1.000000,2,16
8,1.000000,2,16
9,1.000000,2,16
8,1.000000,2,16
8,1.000000,2,16
8,1.000000,2,16
9,1.000000,2,16
9,1.000000,2,16
9,1.000000,2,16
10,1.000000,2,16
8,1.000000,2,16
8,1.000000,2,16
8,1.000000,2,16
8,1.000000,2,16
8,1.000000,2,16
9,1.000000,2,16
8,1.000000,2,16
9,1.000000,2,16
8,1.000000,2,16
8,1.000000,2,16
9,1.000000,2,16
9,1.000000,2,16
8,1.000000,2,16
9,1.000000,2,16
17,1.000000,4,32
16,1.000000,4,32
16,1.000000,4,32
16,1.000000,4,32
16,1.000000,4,32
18,1.000000,4,32
16,1.000000,4,32
16,1.000000,4,32
18,1.000000,4,32
18,1.000000,4,32
16,1.000000,4,32
16,1.000000,4,32
16,1.000000,4,32
15,1.000000,4,32
15,1.000000,4,32
